Date,"General government debt, % of GDP: net JPY","General government debt, % of GDP: net GBP","General government balance, % of GDP: overall JPY","General government balance, % of GDP: overall GBP","Main producer price index: %oya, 3mma GBP","Main producer price index: %oya, 3mma Japan",Merchandise trade balance ratio change (sa): 3M/3M Japan,Merchandise trade balance ratio change (sa): 3M/3M GBP,Generic government bond returns: 5-year maturity Japan,Generic government bond returns: 5-year maturity GBP
1995-02-22,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-02-23,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-02-24,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-02-27,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-02-28,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-03-01,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-03-02,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-03-03,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-03-06,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-03-07,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-03-08,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-03-09,20.8,31.1,-2.24,-6.85,0.49289,-0.94478,-0.05847,-0.46426,0.0013,0.011925
1995-03-10,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-03-13,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-03-14,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-03-15,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-03-16,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-03-17,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-03-20,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-03-21,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-03-22,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-03-23,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-03-24,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-03-27,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-03-28,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-03-29,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-03-30,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-03-31,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-04-03,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-04-04,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-04-05,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-04-06,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-04-07,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-04-10,20.8,31.1,-2.24,-6.85,0.49289,-0.78246,-0.05847,-0.46426,0.0013,0.011925
1995-04-11,20.8,31.1,-2.24,-6.85,0.49289,-0.65289,-0.05847,-0.46426,0.0013,0.011925
1995-04-12,20.8,31.1,-2.24,-6.85,0.49289,-0.65289,-0.05847,-0.46426,0.0013,0.011925
1995-04-13,20.8,31.1,-2.24,-6.85,0.49289,-0.65289,-0.05847,-0.46426,0.0013,0.011925
1995-04-17,20.8,31.1,-2.24,-6.85,0.49289,-0.65289,-0.05847,-0.46426,0.0013,0.011925
1995-04-18,20.8,31.1,-2.24,-6.85,0.49289,-0.65289,-0.05847,-0.46426,0.0013,0.011925
1995-04-19,20.8,31.1,-3.54,-5.41,0.49289,-0.65289,-0.05847,-0.46426,0.0013,0.011925
1995-04-20,20.8,31.1,-3.54,-5.41,0.49289,-0.65289,-0.05847,-0.46426,0.0013,0.011925
1995-04-21,25.0,35.4,-3.54,-5.41,0.49289,-0.65289,-0.05847,-0.46426,0.0013,0.011925
1995-04-24,25.0,35.4,-3.54,-5.41,0.49289,-0.65289,-0.05847,-0.46426,0.0013,0.011925
1995-04-25,25.0,35.4,-3.54,-5.41,0.49289,-0.65289,-0.05847,-0.46426,0.0013,0.011925
1995-04-26,25.0,35.4,-3.54,-5.41,0.49289,-0.65289,-0.05847,-0.46426,0.0013,0.011925
1995-04-27,25.0,35.4,-3.54,-5.41,0.49289,-0.65289,-0.05847,-0.46426,0.0013,0.011925
1995-04-28,25.0,35.4,-3.54,-5.41,0.49289,-0.65289,-0.05847,-0.46426,0.0013,0.011925
1995-05-01,25.0,35.4,-3.54,-5.41,0.49289,-0.65289,-0.05847,-0.46426,0.0013,0.011925
1995-05-02,25.0,35.4,-3.54,-5.41,0.49289,-0.65289,-0.05847,-0.46426,0.0013,0.011925
1995-05-03,25.0,35.4,-3.54,-5.41,0.49289,-0.65289,-0.05847,-0.46426,0.0013,0.011925
1995-05-04,25.0,35.4,-3.54,-5.41,0.49289,-0.65289,-0.05847,-0.46426,0.0013,0.011925
